person_accuracy,group_accuracy_personlevel,group_exact_match_rate,abs_bias_treatment_gap,method,ambiguity,seed
0.20714285714285716,0.2785714285714286,0.08571428571428572,4.809168960874359,Greedy person-level,1.5,1500000
0.32857142857142857,0.37857142857142856,0.14285714285714285,3.9062358133127404,Hungarian person-level,1.5,1500000
0.35714285714285715,0.4142857142857143,0.4142857142857143,3.3375463391041507,Set-aware group-first,1.5,1500000
0.2857142857142857,0.3,0.08571428571428572,3.0915460294826715,Greedy person-level,1.5,1500001
0.3142857142857143,0.3357142857142857,0.1,3.5036353165726197,Hungarian person-level,1.5,1500001
0.6,0.6285714285714286,0.6285714285714286,1.1895826044953637,Set-aware group-first,1.5,1500001
0.2357142857142857,0.25,0.07142857142857142,4.952597095996865,Greedy person-level,1.5,1500002
0.2642857142857143,0.3,0.08571428571428572,4.852637929195794,Hungarian person-level,1.5,1500002
0.5285714285714286,0.5571428571428572,0.5571428571428572,2.4190493813564373,Set-aware group-first,1.5,1500002
0.2642857142857143,0.3142857142857143,0.14285714285714285,3.351755892713932,Greedy person-level,1.5,1500003
0.2857142857142857,0.34285714285714286,0.12857142857142856,3.6331824487415645,Hungarian person-level,1.5,1500003
0.5428571428571428,0.6142857142857143,0.6142857142857143,2.390844566962919,Set-aware group-first,1.5,1500003
0.2642857142857143,0.29285714285714287,0.02857142857142857,4.61767203213811,Greedy person-level,1.5,1500004
0.29285714285714287,0.32857142857142857,0.1,4.206905210398396,Hungarian person-level,1.5,1500004
0.6285714285714286,0.6571428571428571,0.6571428571428571,2.15619041100431,Set-aware group-first,1.5,1500004
0.2857142857142857,0.3142857142857143,0.08571428571428572,5.1647843078573885,Greedy person-level,1.5,1500005
0.2714285714285714,0.3357142857142857,0.1,4.672685480337677,Hungarian person-level,1.5,1500005
0.38571428571428573,0.45714285714285713,0.45714285714285713,4.182122656530765,Set-aware group-first,1.5,1500005
0.2714285714285714,0.3142857142857143,0.15714285714285714,3.1996235707241,Greedy person-level,1.5,1500006
0.2857142857142857,0.32142857142857145,0.14285714285714285,4.546919062300958,Hungarian person-level,1.5,1500006
0.5,0.5714285714285714,0.5714285714285714,2.655579675812355,Set-aware group-first,1.5,1500006
0.2857142857142857,0.35714285714285715,0.08571428571428572,4.632409163679398,Greedy person-level,1.5,1500007
0.34285714285714286,0.4,0.14285714285714285,3.944811650472545,Hungarian person-level,1.5,1500007
0.5142857142857142,0.5571428571428572,0.5571428571428572,3.3200468623716404,Set-aware group-first,1.5,1500007
0.2357142857142857,0.2857142857142857,0.1,2.300539077828603,Greedy person-level,1.5,1500008
0.24285714285714285,0.29285714285714287,0.1,3.368120225877597,Hungarian person-level,1.5,1500008
0.5142857142857142,0.5428571428571428,0.5428571428571428,0.9913841700276507,Set-aware group-first,1.5,1500008
0.25,0.2785714285714286,0.08571428571428572,4.242652386192013,Greedy person-level,1.5,1500009
0.3142857142857143,0.35,0.1,3.5525498227788432,Hungarian person-level,1.5,1500009
0.5428571428571428,0.5857142857142857,0.5857142857142857,2.59030351633546,Set-aware group-first,1.5,1500009
0.2571428571428571,0.29285714285714287,0.08571428571428572,3.950048021596224,Greedy person-level,1.5,1500010
0.3,0.32857142857142857,0.07142857142857142,3.5168626146557713,Hungarian person-level,1.5,1500010
0.5571428571428572,0.5857142857142857,0.5857142857142857,2.652905282585415,Set-aware group-first,1.5,1500010
0.2357142857142857,0.2571428571428571,0.08571428571428572,4.585142324820012,Greedy person-level,1.5,1500011
0.32857142857142857,0.37142857142857144,0.17142857142857143,3.647710171208132,Hungarian person-level,1.5,1500011
0.6285714285714286,0.6857142857142857,0.6857142857142857,2.7656605546411654,Set-aware group-first,1.5,1500011
0.18571428571428572,0.22857142857142856,0.05714285714285714,3.8210284867055506,Greedy person-level,1.5,1500012
0.18571428571428572,0.2357142857142857,0.08571428571428572,4.8919270700529935,Hungarian person-level,1.5,1500012
0.4,0.45714285714285713,0.45714285714285713,2.9670604058836787,Set-aware group-first,1.5,1500012
0.2642857142857143,0.3142857142857143,0.08571428571428572,5.21038321760421,Greedy person-level,1.5,1500013
0.3357142857142857,0.35714285714285715,0.12857142857142856,4.482066291578718,Hungarian person-level,1.5,1500013
0.5285714285714286,0.5571428571428572,0.5571428571428572,2.4379346070656283,Set-aware group-first,1.5,1500013
0.2785714285714286,0.2857142857142857,0.11428571428571428,3.1099198813207565,Greedy person-level,1.5,1500014
0.3142857142857143,0.34285714285714286,0.14285714285714285,3.312201163514068,Hungarian person-level,1.5,1500014
0.6,0.6285714285714286,0.6285714285714286,2.000535098135387,Set-aware group-first,1.5,1500014
0.3,0.35714285714285715,0.12857142857142856,4.7750700575428695,Greedy person-level,1.5,1500015
0.3142857142857143,0.35714285714285715,0.18571428571428572,4.950610630831413,Hungarian person-level,1.5,1500015
0.6285714285714286,0.6428571428571429,0.6428571428571429,2.7070177361726806,Set-aware group-first,1.5,1500015
0.35,0.38571428571428573,0.12857142857142856,3.5745182501435266,Greedy person-level,1.5,1500016
0.2785714285714286,0.3357142857142857,0.07142857142857142,4.640311404249722,Hungarian person-level,1.5,1500016
0.5428571428571428,0.5857142857142857,0.5857142857142857,2.793511824750567,Set-aware group-first,1.5,1500016
0.32142857142857145,0.35,0.1,3.2761514132674208,Greedy person-level,1.5,1500017
0.37142857142857144,0.4,0.11428571428571428,3.414813369360246,Hungarian person-level,1.5,1500017
0.7,0.7571428571428571,0.7571428571428571,2.218846180972882,Set-aware group-first,1.5,1500017
0.29285714285714287,0.32142857142857145,0.11428571428571428,5.112994687776386,Greedy person-level,1.5,1500018
0.3142857142857143,0.35,0.11428571428571428,2.985310223523854,Hungarian person-level,1.5,1500018
0.5857142857142857,0.6857142857142857,0.6857142857142857,1.4656663142445865,Set-aware group-first,1.5,1500018
0.2357142857142857,0.2785714285714286,0.07142857142857142,5.250119088788942,Greedy person-level,1.5,1500019
0.32142857142857145,0.3357142857142857,0.12857142857142856,4.1935595581303815,Hungarian person-level,1.5,1500019
0.5,0.5285714285714286,0.5285714285714286,2.0600488447255643,Set-aware group-first,1.5,1500019
0.2642857142857143,0.3142857142857143,0.1,3.7594002204783337,Greedy person-level,1.5,1500020
0.32857142857142857,0.35714285714285715,0.11428571428571428,4.449655941228116,Hungarian person-level,1.5,1500020
0.5571428571428572,0.6,0.6,2.9137859769657126,Set-aware group-first,1.5,1500020
0.22142857142857142,0.2642857142857143,0.04285714285714286,4.532837991174873,Greedy person-level,1.5,1500021
0.3142857142857143,0.36428571428571427,0.18571428571428572,4.217393098086703,Hungarian person-level,1.5,1500021
0.42857142857142855,0.4714285714285714,0.4714285714285714,4.045495818520941,Set-aware group-first,1.5,1500021
0.20714285714285716,0.25,0.04285714285714286,5.1718669174782335,Greedy person-level,1.5,1500022
0.22857142857142856,0.2714285714285714,0.07142857142857142,5.297774949317393,Hungarian person-level,1.5,1500022
0.5,0.5,0.5,2.463311445259876,Set-aware group-first,1.5,1500022
0.2857142857142857,0.3142857142857143,0.11428571428571428,3.837425212871274,Greedy person-level,1.5,1500023
0.37142857142857144,0.40714285714285714,0.15714285714285714,2.5761221430019745,Hungarian person-level,1.5,1500023
0.6428571428571429,0.6428571428571429,0.6428571428571429,1.9926492427955935,Set-aware group-first,1.5,1500023
0.19285714285714287,0.22142857142857142,0.04285714285714286,5.933296215231763,Greedy person-level,1.5,1500024
0.22142857142857142,0.2357142857142857,0.04285714285714286,6.141978404141149,Hungarian person-level,1.5,1500024
0.5142857142857142,0.5571428571428572,0.5571428571428572,3.173238180296181,Set-aware group-first,1.5,1500024
0.20714285714285716,0.2571428571428571,0.07142857142857142,4.501423249623606,Greedy person-level,1.5,1500025
0.18571428571428572,0.22857142857142856,0.04285714285714286,4.961490705079406,Hungarian person-level,1.5,1500025
0.4,0.45714285714285713,0.45714285714285713,4.593233347983954,Set-aware group-first,1.5,1500025
0.2,0.24285714285714285,0.04285714285714286,4.361567466509584,Greedy person-level,1.5,1500026
0.2785714285714286,0.35,0.07142857142857142,2.7558442006691806,Hungarian person-level,1.5,1500026
0.5142857142857142,0.5428571428571428,0.5428571428571428,2.0020783700083484,Set-aware group-first,1.5,1500026
0.21428571428571427,0.25,0.04285714285714286,5.299537285886153,Greedy person-level,1.5,1500027
0.2785714285714286,0.3142857142857143,0.11428571428571428,3.3637496767284105,Hungarian person-level,1.5,1500027
0.5857142857142857,0.6142857142857143,0.6142857142857143,1.6542139856055442,Set-aware group-first,1.5,1500027
0.24285714285714285,0.2857142857142857,0.1,3.1516589536669386,Greedy person-level,1.5,1500028
0.2785714285714286,0.32142857142857145,0.12857142857142856,2.861971197933862,Hungarian person-level,1.5,1500028
0.5,0.5428571428571428,0.5428571428571428,2.556488524656835,Set-aware group-first,1.5,1500028
0.2642857142857143,0.29285714285714287,0.07142857142857142,3.5782844278956034,Greedy person-level,1.5,1500029
0.3,0.32857142857142857,0.1,3.106515229326135,Hungarian person-level,1.5,1500029
0.6571428571428571,0.6714285714285714,0.6714285714285714,1.2593584520397485,Set-aware group-first,1.5,1500029
0.30714285714285716,0.32857142857142857,0.05714285714285714,3.9689212148243698,Greedy person-level,1.5,1500030
0.35714285714285715,0.37142857142857144,0.15714285714285714,2.841897476588109,Hungarian person-level,1.5,1500030
0.6285714285714286,0.6428571428571429,0.6428571428571429,1.7098411471164,Set-aware group-first,1.5,1500030
0.21428571428571427,0.2714285714285714,0.05714285714285714,3.302705970484503,Greedy person-level,1.5,1500031
0.2714285714285714,0.30714285714285716,0.14285714285714285,4.030118358087442,Hungarian person-level,1.5,1500031
0.4857142857142857,0.5285714285714286,0.5285714285714286,2.611805950421065,Set-aware group-first,1.5,1500031
0.2571428571428571,0.2714285714285714,0.08571428571428572,3.7310171525855935,Greedy person-level,1.5,1500032
0.22857142857142856,0.2571428571428571,0.1,4.411193758871661,Hungarian person-level,1.5,1500032
0.5142857142857142,0.5285714285714286,0.5285714285714286,2.148097937080607,Set-aware group-first,1.5,1500032
