person_accuracy,group_accuracy_personlevel,group_exact_match_rate,abs_bias_treatment_gap,method,ambiguity,seed
0.5642857142857143,0.6428571428571429,0.44285714285714284,2.389598832983232,Greedy person-level,0.5,500000
0.6642857142857143,0.7357142857142858,0.5571428571428572,1.8440428526711372,Hungarian person-level,0.5,500000
0.9142857142857143,0.9714285714285714,0.9714285714285714,0.0,Set-aware group-first,0.5,500000
0.5357142857142857,0.65,0.35714285714285715,1.2849755783467742,Greedy person-level,0.5,500001
0.6142857142857143,0.7,0.5,1.042815648729615,Hungarian person-level,0.5,500001
0.7857142857142857,0.8428571428571429,0.8428571428571429,0.549365511354118,Set-aware group-first,0.5,500001
0.5285714285714286,0.65,0.44285714285714284,2.0931048019895258,Greedy person-level,0.5,500002
0.6714285714285714,0.75,0.5714285714285714,1.5003327756980198,Hungarian person-level,0.5,500002
0.8714285714285714,0.9428571428571428,0.9428571428571428,0.7760428859471489,Set-aware group-first,0.5,500002
0.4857142857142857,0.5857142857142857,0.35714285714285715,2.543913846049996,Greedy person-level,0.5,500003
0.6428571428571429,0.6785714285714286,0.4714285714285714,1.4885956122326292,Hungarian person-level,0.5,500003
0.7571428571428571,0.7571428571428571,0.7571428571428571,0.9290125389474468,Set-aware group-first,0.5,500003
0.5857142857142857,0.6785714285714286,0.4,1.9129099487734536,Greedy person-level,0.5,500004
0.6857142857142857,0.7571428571428571,0.5857142857142857,1.4917456225133208,Hungarian person-level,0.5,500004
0.7571428571428571,0.8571428571428571,0.8571428571428571,0.16783974891171027,Set-aware group-first,0.5,500004
0.4785714285714286,0.5714285714285714,0.35714285714285715,3.1323232336391698,Greedy person-level,0.5,500005
0.5571428571428572,0.6142857142857143,0.4,2.1716586593389238,Hungarian person-level,0.5,500005
0.7428571428571429,0.8,0.8,0.8921619666046965,Set-aware group-first,0.5,500005
0.5571428571428572,0.6214285714285714,0.4,2.3220344965012814,Greedy person-level,0.5,500006
0.5642857142857143,0.6142857142857143,0.38571428571428573,2.203149827217871,Hungarian person-level,0.5,500006
0.8285714285714286,0.8571428571428571,0.8571428571428571,0.7763761315455469,Set-aware group-first,0.5,500006
0.5,0.5785714285714286,0.32857142857142857,1.6907822116989877,Greedy person-level,0.5,500007
0.6357142857142857,0.6928571428571428,0.5,1.7389765094791514,Hungarian person-level,0.5,500007
0.8571428571428571,0.8857142857142857,0.8857142857142857,0.14368594901370102,Set-aware group-first,0.5,500007
0.5071428571428571,0.6142857142857143,0.37142857142857144,2.5974821228995992,Greedy person-level,0.5,500008
0.6428571428571429,0.6928571428571428,0.5,1.6671776271299095,Hungarian person-level,0.5,500008
0.9,0.9428571428571428,0.9428571428571428,0.0,Set-aware group-first,0.5,500008
0.5785714285714286,0.6571428571428571,0.42857142857142855,2.274348511821934,Greedy person-level,0.5,500009
0.65,0.7214285714285714,0.5142857142857142,1.8632945829778222,Hungarian person-level,0.5,500009
0.7428571428571429,0.8142857142857143,0.8142857142857143,1.209491166385817,Set-aware group-first,0.5,500009
0.6071428571428571,0.6571428571428571,0.38571428571428573,1.9838583738521578,Greedy person-level,0.5,500010
0.6285714285714286,0.6857142857142857,0.4,2.088262695745776,Hungarian person-level,0.5,500010
0.8571428571428571,0.9142857142857143,0.9142857142857143,0.5625585933150532,Set-aware group-first,0.5,500010
0.5357142857142857,0.6142857142857143,0.4,2.416336701860118,Greedy person-level,0.5,500011
0.6571428571428571,0.7,0.5,1.871658741750366,Hungarian person-level,0.5,500011
0.7714285714285715,0.8,0.8,1.288338749218724,Set-aware group-first,0.5,500011
0.5214285714285715,0.5714285714285714,0.35714285714285715,2.232242304150091,Greedy person-level,0.5,500012
0.6928571428571428,0.7071428571428572,0.5285714285714286,1.7349014632708517,Hungarian person-level,0.5,500012
0.8428571428571429,0.8857142857142857,0.8857142857142857,0.07297264154947669,Set-aware group-first,0.5,500012
0.6714285714285714,0.7,0.4857142857142857,1.441689099385357,Greedy person-level,0.5,500013
0.75,0.8,0.6285714285714286,1.4801111203427624,Hungarian person-level,0.5,500013
0.9571428571428572,1.0,1.0,0.0,Set-aware group-first,0.5,500013
0.4857142857142857,0.5642857142857143,0.3142857142857143,3.6024464485480863,Greedy person-level,0.5,500014
0.6714285714285714,0.7214285714285714,0.5,1.9792146700311335,Hungarian person-level,0.5,500014
0.8285714285714286,0.8857142857142857,0.8857142857142857,1.247418419392318,Set-aware group-first,0.5,500014
0.4928571428571429,0.5928571428571429,0.34285714285714286,2.314261159552032,Greedy person-level,0.5,500015
0.6714285714285714,0.7,0.5142857142857142,1.805175657014324,Hungarian person-level,0.5,500015
0.8142857142857143,0.8571428571428571,0.8571428571428571,0.3898014948394106,Set-aware group-first,0.5,500015
